num_distr,mouse.time,mouse.clicked_name,,,,,,,,num_distr,mouse.time,mouse.clicked_name
5,[1.7592525999061763],[],,,,,,,,10,[1.8542180999647826],['target']
5,[2.027249700156972],['target'],,,,,,,,10,[1.505697299959138],['target']
5,[1.5216804998926818],['target'],,,,,,,,10,[1.838946299860254],['target']
5,[1.856870399788022],[],,,,,,,,10,[2.1024321001023054],['target']
5,[1.9298855001106858],['target'],,,,,,,,10,[2.385972399963066],['target']
5,[2.210770200006664],['target'],,,,,,,,10,[1.87047309987247],['target']
5,[1.9278377001173794],['target'],,,,,,,,10,[1.556641299976036],['target']
5,[2.807282199850306],['target'],,,,,,,,10,[1.622913399944082],['target']
5,[2.0671455999836326],['target'],,,,,,,,10,[1.141416999977082],['target']
5,[2.1923338000196964],['target'],,,,,,,,10,[2.1368583999574184],['target']
5,[2.3699137999210507],[],,,,,,,,10,[1.713343300158158],['target']
5,[1.39275630004704],['target'],,,,,,,,10,[2.485879600048065],['target']
5,[3.600677599897608],[],,,,,,,,10,[2.0885065000038594],['target']
5,[1.8919464000500739],['target'],,,,,,,,10,[1.1408480999525636],['target']
5,[2.280904999934137],[],,,,,,,,10,[3.0667904000729322],['target']
5,[1.9375968999229372],['target'],,,,,,,,10,[1.1567627999465913],['target']
5,[1.828212499851361],['target'],,,,,,,,10,[1.8544871001504362],['target']
5,[2.250648400047794],['target'],,,,,,,,10,[1.457032599952072],['target']
5,[2.0022521999198943],['target'],,,,,,,,10,[2.585702600190416],['target']
5,[2.28896989999339],['target'],,,,,,,,10,[1.9882216998375952],['target']
5,[2.566321999998763],['target'],,,,,,,,10,[1.8552667999174446],['target']
5,[1.8084132999647409],['target'],,,,,,,,10,[1.0093127000145614],['target']
5,[1.8746201999019831],['target'],,,,,,,,10,[1.9551408998668194],['target']
5,[3.1817113999277353],['target'],,,,,,,,10,[2.469822800019756],['target']
5,[2.6254732999950647],['target'],,,,,,,,10,[1.8385161000769585],['target']
5,[2.501807700144127],['target'],,,,,,,,10,[3.6317714999895543],['target']
5,[1.8591742999851704],['target'],,,,,,,,10,[2.353146499954164],['target']
5,[1.2898598001338542],['target'],,,,,,,,10,[1.7563595999963582],['target']
5,[1.8911965999286622],['target'],,,,,,,,10,[2.7520289001986384],['target']
5,[2.306818600045517],['target'],,,,,,,,10,[2.1210345001891255],['target']
5,[2.0603280998766422],['target'],,,,,,,,10,[2.187048900173977],['target']
